127.0.0.1 - - [12/Jan/2017:14:22:33 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/CubicBezier.js?_dc=1484202155741 HTTP/1.1" 200 2880
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/container/VBox.js?_dc=1484202155763 HTTP/1.1" 200 5965
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/PropertyHandler.js?_dc=1484202155741 HTTP/1.1" 200 14794
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/state/Manager.js?_dc=1484202155787 HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/Queue.js?_dc=1484202155812 HTTP/1.1" 200 3998
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/toolbar/Fill.js?_dc=1484202155762 HTTP/1.1" 200 1491
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/layout/component/Component.js?_dc=1484202155765 HTTP/1.1" 200 17469
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/Element.js?_dc=1484202155813 HTTP/1.1" 200 3123
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/ElementCSS.js?_dc=1484202155813 HTTP/1.1" 200 3709
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/CompositeElement.js?_dc=1484202155813 HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/CompositeElementCSS.js?_dc=1484202155814 HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [12/Jan/2017:14:22:35 +0800] "GET /TomcatTest/ext-4.2.1.883/src/fx/target/Sprite.js?_dc=1484202155814 HTTP/1.1" 200 4886
